149,Country:region-code,AZE,142
150,Country:sub-region-code,AZE,145
151,Country:name,BHS,Bahamas
152,Country:alpha-2,BHS,BS
153,Country:alpha-3,BHS,BHS
154,Country:country-code,BHS,044
155,Country:iso_3166-2,BHS,ISO 3166-2:BS
156,Country:region,BHS,Americas
157,Country:sub-region,BHS,Latin America and the Caribbean
158,Country:intermediate-region,BHS,Caribbean
159,Country:region-code,BHS,019
160,Country:sub-region-code,BHS,419
161,Country:intermediate-region-code,BHS,029
162,Country:name,BHR,Bahrain
163,Country:alpha-2,BHR,BH
164,Country:alpha-3,BHR,BHR
165,Country:country-code,BHR,048
166,Country:iso_3166-2,BHR,ISO 3166-2:BH
167,Country:region,BHR,Asia
168,Country:sub-region,BHR,Western Asia
169,Country:region-code,BHR,142
170,Country:sub-region-code,BHR,145
171,Country:name,BGD,Bangladesh
172,Country:alpha-2,BGD,BD
173,Country:alpha-3,BGD,BGD
174,Country:country-code,BGD,050
175,Country:iso_3166-2,BGD,ISO 3166-2:BD
176,Country:region,BGD,Asia
177,Country:sub-region,BGD,Southern Asia
178,Country:region-code,BGD,142
179,Country:sub-region-code,BGD,034
180,Country:name,BRB,Barbados
181,Country:alpha-2,BRB,BB
182,Country:alpha-3,BRB,BRB
183,Country:country-code,BRB,052
184,Country:iso_3166-2,BRB,ISO 3166-2:BB
185,Country:region,BRB,Americas
186,Country:sub-region,BRB,Latin America and the Caribbean
187,Country:intermediate-region,BRB,Caribbean
188,Country:region-code,BRB,019
189,Country:sub-region-code,BRB,419
190,Country:intermediate-region-code,BRB,029
191,Country:name,BLR,Belarus
192,Country:alpha-2,BLR,BY
193,Country:alpha-3,BLR,BLR
194,Country:country-code,BLR,112
195,Country:iso_3166-2,BLR,ISO 3166-2:BY
196,Country:region,BLR,Europe
197,Country:sub-region,BLR,Eastern Europe
198,Country:region-code,BLR,150
199,Country:sub-region-code,BLR,151
200,Country:name,BEL,Belgium
201,Country:alpha-2,BEL,BE
202,Country:alpha-3,BEL,BEL
203,Country:country-code,BEL,056
204,Country:iso_3166-2,BEL,ISO 3166-2:BE
205,Country:region,BEL,Europe
206,Country:sub-region,BEL,Western Europe
207,Country:region-code,BEL,150
208,Country:sub-region-code,BEL,155
209,Country:name,BLZ,Belize
210,Country:alpha-2,BLZ,BZ
211,Country:alpha-3,BLZ,BLZ
212,Country:country-code,BLZ,084
213,Country:iso_3166-2,BLZ,ISO 3166-2:BZ
214,Country:region,BLZ,Americas
215,Country:sub-region,BLZ,Latin America and the Caribbean
216,Country:intermediate-region,BLZ,Central America
217,Country:region-code,BLZ,019
218,Country:sub-region-code,BLZ,419
219,Country:intermediate-region-code,BLZ,013
220,Country:name,BEN,Benin
221,Country:alpha-2,BEN,BJ
222,Country:alpha-3,BEN,BEN
223,Country:country-code,BEN,204
224,Country:iso_3166-2,BEN,ISO 3166-2:BJ
225,Country:region,BEN,Africa
226,Country:sub-region,BEN,Sub-Saharan Africa
227,Country:intermediate-region,BEN,Western Africa
228,Country:region-code,BEN,002
229,Country:sub-region-code,BEN,202
230,Country:intermediate-region-code,BEN,011
231,Country:name,BMU,Bermuda
232,Country:alpha-2,BMU,BM
233,Country:alpha-3,BMU,BMU
234,Country:country-code,BMU,060
235,Country:iso_3166-2,BMU,ISO 3166-2:BM
236,Country:region,BMU,Americas
237,Country:sub-region,BMU,Northern America
238,Country:region-code,BMU,019
239,Country:sub-region-code,BMU,021
240,Country:name,BTN,Bhutan
241,Country:alpha-2,BTN,BT
242,Country:alpha-3,BTN,BTN
243,Country:country-code,BTN,064
244,Country:iso_3166-2,BTN,ISO 3166-2:BT
245,Country:region,BTN,Asia
246,Country:sub-region,BTN,Southern Asia
247,Country:region-code,BTN,142
248,Country:sub-region-code,BTN,034
249,Country:name,BOL,Bolivia (Plurinational State of)
250,Country:alpha-2,BOL,BO
251,Country:alpha-3,BOL,BOL
252,Country:country-code,BOL,068
253,Country:iso_3166-2,BOL,ISO 3166-2:BO
254,Country:region,BOL,Americas
255,Country:sub-region,BOL,Latin America and the Caribbean
256,Country:intermediate-region,BOL,South America
257,Country:region-code,BOL,019
258,Country:sub-region-code,BOL,419
259,Country:intermediate-region-code,BOL,005
260,Country:name,BES,Bonaire, Sint Eustatius and Saba
261,Country:alpha-2,BES,BQ
262,Country:alpha-3,BES,BES
263,Country:country-code,BES,535
264,Country:iso_3166-2,BES,ISO 3166-2:BQ
265,Country:region,BES,Americas
266,Country:sub-region,BES,Latin America and the Caribbean
267,Country:intermediate-region,BES,Caribbean
268,Country:region-code,BES,019
269,Country:sub-region-code,BES,419
270,Country:intermediate-region-code,BES,029
271,Country:name,BIH,Bosnia and Herzegovina
272,Country:alpha-2,BIH,BA
273,Country:alpha-3,BIH,BIH
274,Country:country-code,BIH,070
275,Country:iso_3166-2,BIH,ISO 3166-2:BA
276,Country:region,BIH,Europe
